SOCIETES D'ASSURANCE RESIDENTES.,FORME.JURIDIQUE,SPECIALITE.,PRIMES NETTES.2021,PRIMES NETTES.2022,Tx d'évolution.2022/2021
SOCIETES D'ASSURANCE DIRECTE,SOCIETES D'ASSURANCE DIRECTE,SOCIETES D'ASSURANCE DIRECTE,SOCIETES D'ASSURANCE DIRECTE,SOCIETES D'ASSURANCE DIRECTE,SOCIETES D'ASSURANCE DIRECTE
STAR,SOCIETE ANONYME S.A,MULTI BRANCHES,"368,2","386,3","4,9%"
COMAR,SOCIETE ANONYME S.A,MULTI BRANCHES,"233,3","252,8","8,4%"
ASTREE,SOCIETE ANONYME S.A,MULTI BRANCHES,"187,2","236,0","26,1 %"
GAT,SOCIETE ANONYME S.A,MULTI BRANCHES,"218,4","235,0","7,6%"
MAGHREBIA,SOCIETE ANONYME S.A,MULTI BRANCHES,"202,5","226,1","11,7%"
ASSURANCES BIAT,SOCIETE ANONYME S.A,MULTI BRANCHES,"171,4","206,3","20,4%"
AMI,SOCIETE ANONYME S.A,MULTI BRANCHES,"142,9","189,8","32,8%"
BH ASSURANCE,SOCIETE ANONYME S.A,MULTI BRANCHES,"147,5","161,6","9,6%"
LLOYD TUNISIEN,SOCIETE ANONYME S.A,MULTI BRANCHES,,"159,3","10,3%"
CARTE,SOCIETE ANONYME S.A,MULTI BRANCHES,,"146,2","10,8%"
MAE,SOCIETE MUTUELLE,MULTI BRANCHES,"151,9",,"8,4%"
CTAMA,SOCIETE MUTUELLE,MULTI BRANCHES,"144,9","164,0","13,2%"
ATTIJARI ASSURANCE,SOCIETE ANONYME S.A,VIE & CAPITALISATION,"133,1","112,2","215,"
MAGHREBIA VIE,SOCIETE ANONYME S.A,VIE & CAPITALISATION,"91,8","103,3","12,5%"
CARTE VIE,SOCIETE ANONYME S.A,,"66,1","100,6","52,2%"
ASSURANCES HAYETT,SOCIETE ANONYME S.A,VIE & CAPITALISATION,"80,6","83,1","3,1 %"
GAT VIE,SOCIETE ANONYME S.A,VIE & CAPITALISATION,"36,9","53,9",
LLOYD VIE,SOCIETE ANONYME S.A,VIE & CAPITALISATION,"6,4","8,4","31,3%"
ASSURANCES UIB,SOCIETE ANONYME S.A,VIE & CAPITALISATION,,,
COTUNACE,SOCIETE ANONYME S.A,EXPORTATIONS & CREDITS,"14,0","13,8","-1,4%"
ZITOUNA TAKAFUL,SOCIETE ANONYME S.A,MULTI BRANCHES,,"95,8","17,8%"
ELAMANA TAKAFUL,SOCIETE ANONYME S.A,MULTI BRANCHES,"43,6","47,2",
ATTAKAFULIA,SOCIETE ANONYME S.A,MULTI BRANCHES,"34,8","38,6","10,9%"
TOTAL 1,TOTAL 1,TOTAL 1,"2833,2","3185,0",
SOCIETES DE REASSURANCE,SOCIETES DE REASSURANCE,SOCIETES DE REASSURANCE,SOCIETES DE REASSURANCE,SOCIETES DE REASSURANCE,SOCIETES DE REASSURANCE
TUNIS RE,SOCIETE ANONYME S.A,REASSURANCE,"163,2","195,3","19,7%"
TOTAL 2,TOTAL 2,TOTAL 2,"2996,4","3380,3","12,8%"
